0 0 85.0 126.3972396850586 -74.09033966064453 -168.42068653541224 /bezier_planner 100.0 "[____pose____, world, 126.397240, -74.090340, -85.000000, 0.000000, 0.000000, -0.994899, 0.100877]"
1 0 85.0 99.80628967285156 -79.5386734008789 -175.51416327680985 /bezier_planner 100.0 "[____pose____, world, 99.806290, -79.538673, -85.000000, 0.000000, 0.000000, -0.999234, 0.039136]"
2 0 85.0 53.083885192871094 -83.20418548583984 174.9604929310739 /bezier_planner 100.0 "[____pose____, world, 53.083885, -83.204185, -85.000000, 0.000000, 0.000000, 0.999033, 0.043964]"
3 0 85.0 5.997047424316406 -79.0519027709961 168.57638340409116 /bezier_planner 100.0 "[____pose____, world, 5.997047, -79.051903, -85.000000, 0.000000, 0.000000, 0.995035, 0.099525]"
4 0 85.0 -41.54884719848633 -69.44457244873047 -176.69532880606224 /bezier_planner 100.0 "[____pose____, world, -41.548847, -69.444572, -85.000000, 0.000000, 0.000000, -0.999584, 0.028835]"
5 0 85.0 -83.31550598144531 -71.85623931884766 -171.31852247622444 /bezier_planner 100.0 "[____pose____, world, -83.315506, -71.856239, -85.000000, 0.000000, 0.000000, -0.997132, 0.075688]"
6 0 85.0 -127.18690490722656 -78.55499267578125 -159.80815676620077 /bezier_planner 100.0 "[____pose____, world, -127.186905, -78.554993, -85.000000, 0.000000, 0.000000, -0.984516, 0.175297]"
7 0 85.0 -166.2622528076172 -92.92560577392578 -146.3969147597274 /bezier_planner 100.0 "[____pose____, world, -166.262253, -92.925606, -85.000000, 0.000000, 0.000000, -0.957312, 0.289058]"
8 0 85.0 -196.88243103027344 -113.27198028564453 -146.2056030672503 /bezier_planner 100.0 "[____pose____, world, -196.882431, -113.271980, -85.000000, 0.000000, 0.000000, -0.956828, 0.290655]"
9 0 85.0 -224.32945251464844 -131.64227294921875 -116.20324304325406 /bezier_planner 100.0 "[____pose____, world, -224.329453, -131.642273, -85.000000, 0.000000, 0.000000, -0.848987, 0.528414]"
10 0 85.0 -247.69097900390625 -179.1123809814453 -116.20324304325406 /bezier_planner 100.0 "[____pose____, world, -247.690979, -179.112381, -85.000000, 0.000000, 0.000000, -0.848987, 0.528414]"
